number,totalprice,description,customer_id
1,0,,17
2,0,,655
3,0,,2
4,0,,76
5,0,,324
6,0,,49
7,0,,637
8,0,,398
9,0,,48
10,0,,943
11,0,,200
12,0,,57
13,0,,273
14,0,,585
15,0,,687
16,0,,979
17,0,,46
18,0,,817
19,0,,457
20,0,,622
21,0,,15
22,0,,577
23,0,,796
24,0,,6
25,0,,878
26,0,,984
27,0,,587
28,0,,644
29,0,,180
30,0,,636
31,0,,815
32,0,,218
33,0,,893
34,0,,112
35,0,,403
36,0,,415
37,0,,71
38,0,,859
39,0,,852
40,0,,87
41,0,,952
42,0,,371
43,0,,402
44,0,,985
45,0,,407
46,0,,126
47,0,,766
48,0,,656
49,0,,333
50,0,,882
51,0,,223
52,0,,640
53,0,,213
54,0,,150
55,0,,503
56,0,,367
57,0,,667
58,0,,121
59,0,,157
60,0,,967
61,0,,670
62,0,,580
63,0,,920
64,0,,203
65,0,,688
66,0,,497
67,0,,260
68,0,,598
69,0,,767
70,0,,532
71,0,,414
72,0,,263
73,0,,395
74,0,,353
75,0,,654
76,0,,311
77,0,,282
78,0,,245
79,0,,909
80,0,,454
81,0,,820
82,0,,347
83,0,,698
84,0,,364
85,0,,612
86,0,,417
87,0,,385
88,0,,129
89,0,,914
90,0,,853
91,0,,111
92,0,,149
93,0,,168
94,0,,790
95,0,,712
96,0,,604
97,0,,159
98,0,,944
99,0,,539
100,0,,34
101,0,,492
102,0,,982
103,0,,746
104,0,,44
105,0,,436
106,0,,37
107,0,,174
108,0,,379
109,0,,778
110,0,,109
111,0,,758
112,0,,652
113,0,,210
114,0,,582
115,0,,215
116,0,,195
117,0,,19
118,0,,691
119,0,,14
120,0,,100
121,0,,838
122,0,,643
123,0,,605
124,0,,185
125,0,,25
126,0,,458
127,0,,916
128,0,,491
129,0,,735
130,0,,31
131,0,,789
132,0,,634
133,0,,474
134,0,,608
135,0,,811
136,0,,169
137,0,,798
138,0,,216
139,0,,703
140,0,,439
141,0,,932
142,0,,471
143,0,,987
144,0,,115
145,0,,288
146,0,,961
147,0,,139
148,0,,222
149,0,,296
150,0,,355
151,0,,975
152,0,,292
153,0,,800
154,0,,342
155,0,,807
156,0,,776
157,0,,219
158,0,,679
159,0,,922
160,0,,107
161,0,,221
162,0,,462
163,0,,946
164,0,,781
165,0,,814
166,0,,894
167,0,,449
168,0,,28
169,0,,232
170,0,,600
171,0,,336
172,0,,140
173,0,,145
174,0,,283
175,0,,227
176,0,,254
177,0,,695
178,0,,55
179,0,,785
180,0,,167
181,0,,424
182,0,,895
183,0,,837
184,0,,272
185,0,,264
186,0,,792
187,0,,501
188,0,,275
189,0,,24
190,0,,591
191,0,,646
192,0,,206
193,0,,616
194,0,,868
195,0,,89
196,0,,968
197,0,,56
198,0,,988
199,0,,397
200,0,,536
